Bus,Voltage_pu,Angle_rad
1,1,0
2,0.997025159126481,0.000254856205190738
3,0.982892957544864,0.00168989336431565
4,0.97538339415859,0.00284384294587047
5,0.967957114960523,0.00401623551418236
6,0.949479149403118,0.00237281558081086
7,0.945954384949756,-0.0016709420455047
8,0.932298475033268,-0.00434996865838425
9,0.925965787060724,-0.00565044343549437
10,0.920091682334503,-0.00676341646731517
11,0.919222923445122,-0.00663421948687105
12,0.917708051160116,-0.00642947568664943
13,0.911532324328698,-0.00805539852853955
14,0.909242295874874,-0.00945672001033095
15,0.907815453332747,-0.0101278921094762
16,0.906433448207242,-0.010542095264867
17,0.904385323154496,-0.0119185383481788
18,0.903771996833557,-0.0120893746991756
19,0.996496791257338,6.58253062602597e-05
20,0.992919169392506,-0.00110318814236743
21,0.992214660610493,-0.00144105171906677
22,0.991577237057081,-0.00179618893995661
23,0.979307063321863,0.00114946161191258
24,0.972635593587339,-0.000399380802847409
25,0.969310448406333,-0.00116217209957251
26,0.947549495503313,0.00306172360256971
27,0.944985234602027,0.00404216638501133
28,0.933543352514639,0.00549040103464089
29,0.925323596710052,0.00685063829597
30,0.921765459329725,0.00868870096142751
31,0.917603445877343,0.00721491253161853
32,0.916687839091889,0.00681257824394621
33,0.916404138015313,0.00667761148886749
